OBJECTID,GlobalID,Municipality,MunicipalityNumber,PlanningRegion,CouncilOfGovernment,MetropolitanPlanningOrganizatio,County,DEMHSRegion,StatePoliceTroop,DOTMunicipalityNumber,DOTConstructionDistrict,DOTHighwayOperationsCenter,TransportationManagementArea,OzoneDesignatedArea,PM25DesignatedArea,CarbonMonoxideDesignatedArea,TransitDistrict,SquareMiles,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
1,6ffc5627-afe3-47ef-9ba3-8b14892a7639,Andover,1,Capital,Capital Region,Capital Region,Tolland,3,K,1,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,15.71367366,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,438072079.376526,86301.9761086543
2,8b777c65-0cab-42ed-8bab-86eb34d0faa9,Ansonia,2,Naugatuck Valley,Naugatuck Valley,Greater Bridgeport Valley,New Haven,2,I,2,4,Newington,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Valley,6.24905295,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,174213597.549805,53485.5076924289
3,a569bc2d-8954-4fc5-bfcb-13eb80f4a89c,Ashford,3,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,C,3,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,39.8070438,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1109756689.26837,141927.322050989
4,12d25932-9b79-4247-a55c-80fd8f3e0c26,Avon,4,Capital,Capital Region,Capital Region,Hartford,3,H,4,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,23.40710622,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,652552669.573914,108102.697128429
5,9b358c64-5321-41a8-8289-76b4e940054e,Barkhamsted,5,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,5,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,38.70919179,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1079150331.78851,135781.046393351
6,a075a0e1-db06-4b23-8424-7879b0a3896a,Beacon Falls,6,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,5,I,6,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,,9.86355521,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,274980137.285706,79687.056911039
7,d0669105-ae83-496a-a18f-2908eca9156d,Berlin,7,Capital,Capital Region,Capital Region,Hartford,3,H,7,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,27.12346229,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,756158730.716125,136418.069591275
8,d4856677-6b98-42b2-82e5-a7c5e7166544,Bethany,8,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,8,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,21.39237402,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,596385159.579529,111760.393867228
9,0d562605-7d38-4b49-8a69-97962da58dfa,Bethel,9,Western Connecticut,Western CT,Housatonic Valley,Fairfield,5,A,9,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Housatonic Area Regional,16.94347443,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,472356957.352966,97561.798434852
10,022dac73-2cc9-46ba-a508-fcfb4786a5e5,Bethlehem,10,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,Litchfield,5,L,10,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,3,,19.64447599,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,547656559.141235,94009.243845406
11,80eb6e0d-af21-4060-b6f9-5993328e0896,Bloomfield,11,Capital,Capital Region,Capital Region,Hartford,3,H,11,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,26.37403856,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,735265996.138977,129595.726278003
12,3ff5c4a7-d7e9-426e-9990-ba2cbd0ae15a,Bolton,12,Capital,Capital Region,Capital Region,Tolland,3,K,12,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,14.73826571,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,410879266.539246,84021.0299862976
13,276e5340-96aa-4845-a51d-a86c70d2bed2,Bozrah,13,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,K,13,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,20.28448628,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,565499022.062134,101615.480517018
14,c687afe3-5f2d-4fe3-8a15-c8da42a7fdfa,Branford,14,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,F,14,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,21.96629555,CTDOT_OpenData,2023/08/07 13:05:54.033+00,Gregory.Ciparelli_CTDOT,2023/10/06 18:18:19.404+00,612506602.727478,298509.101594279
15,41f1be20-8486-41e4-8e17-0bdfef2c8501,Bridgeport,15,Greater Bridgeport,CT Metropolitan,Greater Bridgeport Valley,Fairfield,1,G,15,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Greater Bridgeport,16.35932297,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,456071749.140045,186092.491799908
16,5a64e8cd-91ef-47a4-8dd9-05a382c9bc3c,Bridgewater,16,Western Connecticut,Western CT,Housatonic Valley,Litchfield,5,A,16,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,1,,17.35661624,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,483874689.879272,110214.364128488
17,fb027824-91d3-476d-bab6-e246b39740db,Bristol,17,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,Hartford,3,L,17,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,26.82533317,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,747847367.859192,113541.759882339
18,1b16e084-c033-4bb4-8a5c-f46675d57ab6,Brookfield,18,Western Connecticut,Western CT,Housatonic Valley,Fairfield,5,A,18,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Housatonic Area Regional,20.35599604,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,567492599.562622,113347.007302646
19,be25595e-6f9d-4c1e-8369-8cbe542f7fa4,Brooklyn,19,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,19,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Northeastern CT,29.12762021,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,812031446.787231,131217.081456825
20,36f06d82-9bef-447a-a574-503766b22e80,Burlington,20,Northwest Hills,Northwest Hills,Northwest Hills,Hartford,3,L,20,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,30.4637698,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,849281159.623291,121074.617910065
21,407233bb-8faf-4a96-8fd9-0ed014628920,Canaan,21,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,21,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,33.14251635,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,923960327.336914,129559.302483489
22,6afc8610-c091-494e-9c0e-7ff85e238e69,Canterbury,22,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,22,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,40.2472164,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1122027996.95276,158709.383199362
23,7137fed1-bf0d-4647-b2b8-79efed85f4b1,Canton,23,Capital,Capital Region,Capital Region,Hartford,3,L,23,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,25.02854453,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,697755775.330444,123258.137645903
24,0b899b8d-def0-4a71-b170-971cbb7a46b0,Chaplin,24,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,24,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,19.71368154,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,549585898.99762,96815.2201528936
25,4fc64057-578d-48a7-b692-d7c06204e199,Cheshire,25,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,2,I,25,1,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater Waterbury,33.07094436,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,921965014.820068,134374.302871477
26,cf2c820c-e060-497b-858d-70ea31acb0d2,Chester,26,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,26,2,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,16.81930224,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,468895235.350525,90099.2462828395
27,f6ede817-b24e-4766-a5af-b4b6ce5c8bcb,Clinton,27,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,27,2,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,16.38629525,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,456823693.252075,123907.685934081
28,16a38375-d2f1-45a4-aeec-20c48b9ab8cb,Colchester,28,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,K,28,2,Newington,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,49.63395575,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1383715271.11255,184278.92493
29,03d13ca5-21cd-438b-bd32-11a0034952ac,Colebrook,29,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,29,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,32.89091642,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,916946123.711914,123126.226049632
30,ec8eca94-1296-4614-a718-86589b39d49a,Columbia,30,Capital,Capital Region,Capital Region,Tolland,4,K,30,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,21.93751037,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,611582688.862305,129077.189456417
31,139fa308-8a98-443a-885b-d2c414423d58,Cornwall,31,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,31,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,46.41985353,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1294111244.03516,170929.100954434
32,792e3836-1203-4e00-8eb1-a9e43f816b27,Coventry,32,Capital,Capital Region,Capital Region,Tolland,4,C,32,1,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,38.26261025,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1066700352.91211,175274.948685696
33,299ce848-e4d5-46b2-8027-79ed3b2aadb6,Cromwell,33,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,3,H,33,1,Newington,Hartford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Middletown Area,13.00815137,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,362646446.879944,93481.1594832402
34,aa9194fb-4330-43a4-9fae-172ff64e9ddd,Danbury,34,Western Connecticut,Western CT,Housatonic Valley,Fairfield,5,A,34,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Housatonic Area Regional,43.93517816,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1224842470.01602,155466.197521137
35,b4901101-81c8-4aa3-aac6-c6b1f860016c,Darien,35,Western Connecticut,Western CT,South Western,Fairfield,1,G,35,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,,12.8243049,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,357521101.60495,172451.190842131
36,b4b6a8fa-1044-461d-9480-c5424af9b41f,Deep River,36,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,122,2,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,14.12871753,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,393886038.698486,105359.389198212
37,8be5c55e-a4c0-4d79-8e71-e644613d95ef,Derby,37,Naugatuck Valley,Naugatuck Valley,Greater Bridgeport Valley,New Haven,2,I,36,4,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Valley,5.4247971,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,151234663.286865,68436.3922757261
38,92e81fc6-bb55-46db-b11a-1783e64eba7d,Durham,38,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,37,1,Newington,Hartford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Middletown Area,23.86699181,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,665373544.149597,115853.179615725
39,f119741e-0df6-4576-8d10-d8d42cdd369f,East Granby,40,Capital,Capital Region,Capital Region,Hartford,3,H,39,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,17.52636285,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,488606953.679688,108620.720746223
40,d93dddc4-d324-4c34-9786-c0b7ce03e948,East Haddam,41,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,3,K,40,2,Newington,Hartford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,56.63840094,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1578987995.90942,166350.854183915
41,7a4ed15f-cbdc-4ecd-8f64-4fee44aeea75,East Hampton,42,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,3,K,41,2,Newington,Hartford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Middletown Area,37.04543108,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1032767345.11975,159536.631534826
42,0239a027-1ffd-4a58-8fca-8d0e8f37e0e3,East Hartford,43,Capital,Capital Region,Capital Region,Hartford,3,H,42,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,18.78925205,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,523814284.00647,93638.1448518496
43,adceb801-9669-44c9-9eef-5a44b71f628b,East Haven,44,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,43,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,12.59957479,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,351255985.679199,128496.880299304
44,21175290-381a-4897-a833-b525f36cedee,East Lyme,45,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,44,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,35.27689055,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,983463264.875427,194530.79821918
45,338ceb65-b792-496a-a2d1-ceb4ab13f0a0,East Windsor,47,Capital,Capital Region,Capital Region,Hartford,3,H,46,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,26.73049097,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,745203319.089539,109522.003250711
46,c163f45e-f2ee-4a48-89ab-b81ec8345dda,Eastford,39,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,38,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,28.81123213,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,803211053.390625,142718.842896817
47,3c87bfc9-11ab-4b55-aad4-10a37243cd9b,Easton,46,Greater Bridgeport,CT Metropolitan,Greater Bridgeport Valley,Fairfield,1,G,45,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,,28.60779751,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,797539621.70874,148302.424089352
48,71a3e62e-a0fc-452b-aa32-2c3f37d7f8b9,Ellington,48,Capital,Capital Region,Capital Region,Tolland,3,C,47,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,34.59354358,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,964412644.664917,175548.288242965
49,1311fbf6-d41f-4d7c-841e-c49b2c40046a,Enfield,49,Capital,Capital Region,Capital Region,Hartford,3,H,48,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,34.20383919,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,953548309.943604,129916.53668744
50,1ff161a9-91e6-44a6-8d9c-9b738e610ffe,Essex,50,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,49,2,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,11.78977558,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,328680079.238342,81679.1435470055
51,e3eb7b0d-43fd-4285-9d18-9549deae44d9,Fairfield,51,Greater Bridgeport,CT Metropolitan,Greater Bridgeport Valley,Fairfield,1,G,50,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Greater Bridgeport,30.45418181,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,849013861.63501,160389.103828957
52,b66577e9-19b5-4e4a-89a2-c631b41f7d64,Farmington,52,Capital,Capital Region,Capital Region,Hartford,3,H,51,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,28.72500277,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,800807116.814331,132246.515148893
53,c3da228b-e1ee-4e72-9521-56e220c5f797,Franklin,53,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,K,52,2,Newington,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,19.67187144,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,548420300.350708,98839.7831616336
54,71fef9be-8946-49d1-928f-63fc42d8dc1d,Glastonbury,54,Capital,Capital Region,Capital Region,Hartford,3,H,53,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,52.18837581,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1454928415.20929,183952.617154419
55,00ddfbfe-736b-4bef-9965-777ad6435632,Goshen,55,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,54,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,45.20643014,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1260282941.32086,151322.239226704
56,09246b30-d487-4b63-99cd-30024e4a5adf,Granby,56,Capital,Capital Region,Capital Region,Hartford,3,H,55,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,41.09541439,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1145674399.90686,150751.164787926
57,75bafb5c-f96e-48b1-80b3-78b46db4f60c,Greenwich,57,Western Connecticut,Western CT,South Western,Fairfield,1,G,56,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,,48.54362008,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1353318457.24463,319744.10363065
58,313a4dad-7c3b-4778-8400-5c01b73ecebb,Griswold,58,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,57,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,36.96698982,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1030580528.27014,143759.739918954
59,98bb8d5f-bb5a-4849-aac8-42ffdf4e575e,Groton,59,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,58,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,32.2651693,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,899501295.291138,297330.469042308
60,59d42ab3-23b6-49bb-8919-6623c583c311,Guilford,60,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,F,59,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,,47.28749647,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1318299740.73828,248790.488169671
61,5967d17d-bbbe-45e7-881c-fc9c781b975f,Haddam,61,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,60,2,Bridgeport,Hartford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,46.29576725,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1290651916.87152,152079.945162443
62,21a91cbf-8df2-4604-87e0-f75acdcd4239,Hamden,62,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,61,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,33.24536625,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,926827617.855713,174480.089882547
63,edb98e0b-0121-4f16-8461-6d2abbab3132,Hampton,63,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,62,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,25.45287218,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,709585351.308044,105935.321010578
64,0cf45e5f-d44f-4683-979a-62a127603370,Hartford,64,Capital,Capital Region,Capital Region,Hartford,3,H,63,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,18.08605113,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,504210167.418152,110148.787360372
65,a04b9d74-7d86-43d1-be5e-b024190994e7,Hartland,65,Northwest Hills,Northwest Hills,Northwest Hills,Hartford,5,B,64,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,,34.27258671,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,955464880.82782,129222.298397397
66,a729869d-543b-43e4-92f8-8702a957fb0b,Harwinton,66,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,L,65,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,31.11349525,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,867394465.379272,119037.735420733
67,c1e4eddc-e7af-45de-83c4-ca8714e37306,Hebron,67,Capital,Capital Region,Capital Region,Tolland,3,K,66,2,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,37.40287173,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1042732218.53333,154558.409985026
68,f5778f28-8293-44f9-874c-d95900472fbb,Kent,68,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,L,67,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,49.68789382,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1385218978.26801,160590.008929591
