OBJECTID,GlobalID,Municipality,MunicipalityNumber,PlanningRegion,CouncilOfGovernment,MetropolitanPlanningOrganizatio,County,DEMHSRegion,StatePoliceTroop,DOTMunicipalityNumber,DOTConstructionDistrict,DOTHighwayOperationsCenter,TransportationManagementArea,OzoneDesignatedArea,PM25DesignatedArea,CarbonMonoxideDesignatedArea,TransitDistrict,SquareMiles,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
129,73676b33-fad4-4814-a06a-b999770bebb1,Somers,129,Capital,Capital Region,Capital Region,Tolland,3,C,129,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,28.62263881,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,797953373.44397,113724.51542994
130,7fee647b-6d31-4972-b93d-e841ba2b0656,South Windsor,132,Capital,Capital Region,Capital Region,Hartford,3,H,132,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,28.69961472,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,800099338.474915,120005.801624569
131,ceea8b4a-54d7-4ace-ae71-a723cdc04434,Southbury,130,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,5,A,130,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater Waterbury,40.00095464,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1115162613.20172,154423.074900714
132,8b9f7ca8-9962-4db9-9ab5-40d998076920,Southington,131,Capital,Capital Region,Capital Region,Hartford,3,H,131,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,36.52604977,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1018287825.39618,152061.469892876
133,11d37dcb-0a2e-44fa-82d6-9771d9771407,Sprague,133,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,133,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,13.80416449,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,384838019.159668,87594.9501246536
134,6529aae0-3b69-4ad6-93db-b9d55608d486,Stafford,134,Capital,Capital Region,Capital Region,Tolland,3,C,134,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,58.88336631,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1641574038.32983,167541.368797897
135,a17fbc6d-5664-4905-95f7-f3e5c9d41cc7,Stamford,135,Western Connecticut,Western CT,South Western,Fairfield,1,G,135,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Stamford,38.36765941,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1069628955.50226,249724.536866217
136,fc5a3e12-3693-4982-a406-ebc460b14597,Sterling,136,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,136,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,27.25943833,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,759949525.115112,127040.892655074
137,abe9d77a-cb44-4caa-aa43-d58ea5399f7d,Stonington,137,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,137,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,39.26233153,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1094570982.60681,326823.735883899
138,ddb39292-055e-4ba4-9cf6-40957da7c676,Stratford,138,Greater Bridgeport,CT Metropolitan,Greater Bridgeport Valley,Fairfield,1,G,138,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Greater Bridgeport,17.40367005,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,485186474.784424,175086.550436671
